,i,dt,mu_val,mu_cur,co_config,event name
0,0,0,-4.356079258337528,-4.356079258337528,[],Initial
0,1,1.876345814729938e-36,-2.10297994780947,-6.459059206146998,[15],ads
0,2,7.888076212883729e-37,-4.19930989561894,-8.555389153956469,"[15, 10]",ads
0,3,1.270103139765633e-40,-6.54966894223754,-10.905748200575069,"[15, 10, 13]",ads
0,4,6.325719348654786e-37,-8.664595116987485,-13.020674375325013,"[15, 10, 13, 16]",ads
0,5,1.8828949304775415e-23,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",ads
0,6,3.3159227437631236e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,7,47346074713132.51,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,8,8.693291340163882e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,9,230764291181297.56,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,10,5.771625188779846e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,11,51580486514396.33,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,12,2.2335092673890527e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,13,130174809698637.34,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,14,5.066371411270421e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,15,161223580337606.3,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,16,1.3154613257278696e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,17,178257575807053.66,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,18,4.4154462187394644e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,19,387987819609369.5,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,20,3.65974611917908e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,21,1726276169845.5735,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,22,1.3020875545332636e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,23,325434317166830.06,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,24,1.2378063054944235e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,25,232416205455640.25,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,26,6.885615498260414e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,27,10928347645242.99,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,28,4.169110542564381e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,29,32392690764127.215,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,30,4.58392638515389e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,31,31144572675014.145,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,32,1.851498569661965e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,33,139377840074565.12,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,34,3.076876778108536e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,35,113523807569731.23,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,36,1.034819251515849e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,37,48070502722617.54,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,38,4.8434415969932734e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,39,114589939373204.2,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,40,3.302984847628522e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,41,205025206440712.97,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,42,1.497177232038567e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,43,19832909010404.855,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,44,2.134283307634556e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,45,141849647298443.38,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,46,2.615888208573717e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,47,210579589173953.94,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,48,6.0243435789174996e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,49,22395939473656.113,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,50,7.363041554434389e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,51,443456113031642.0,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,52,6.602236262559024e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,53,34794829171711.664,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,54,2.18099001044219e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,55,32643933229299.727,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,56,6.3528394755772894e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,57,233465780777360.25,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,58,3.0883292719503426e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,59,14409721412857.084,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,60,3.229689046421393e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,61,135433617660343.28,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,62,1.3773639373272367e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,63,70379119712013.8,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,64,9.853443226384944e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,65,12169439015891.65,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,66,3.2155947622351654e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,67,160715296107846.03,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,68,5.740945357657939e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,69,101269656405367.72,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,70,6.536312719664216e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,71,377766337212585.4,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,72,1.6006434800840467e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,73,248117944424.96796,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,74,7.311533537963188e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,75,405400822249633.56,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,76,7.633798860128066e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,77,76898373248473.8,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,78,8.931703874447221e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,79,10720954186793.047,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,80,4.983152719943511e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,81,27248720473764.797,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,82,2.2688835546284154e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,83,109484364632427.86,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,84,1.4760503507242143e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,85,44631285449918.945,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,86,6.7347907068094124e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,87,356755008736031.0,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,88,1.6168271836118587e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,89,57220272791405.31,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,90,3.150529566258922e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,91,37465598420339.21,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,92,5.241109939556634e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,93,212753473174454.53,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,94,2.0172015557364362e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,95,175153645896611.16,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,96,5.777542001500366e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,97,102089575278915.33,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,98,4.7503149618314514e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,99,311374539067175.5,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,100,6.576817348793195e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,101,28261028095448.246,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,102,8.316273283467695e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,103,73884874585307.67,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,104,4.537766231819073e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,105,6105181786520.961,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,106,1.1209972719874845e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,107,217935356236413.9,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,108,8.715726077121392e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,109,49693318437499.67,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,110,5.1363760332930415e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,111,125879817591265.7,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,112,1.2357339264193823e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,113,33792365738251.016,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,114,1.144208313847854e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,115,48182183301521.336,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,116,3.3262418172502595e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,117,10221496757881.59,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,118,2.0967932766117974e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,119,274931770663070.53,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,120,1.680015273172204e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,121,49874311462971.64,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,122,4.024957229570752e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,123,150214682726982.66,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,124,2.6086814228945335e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,125,97889757208091.81,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,126,5.085071282255869e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,127,611226266904706.6,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,128,9.767485046097624e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,129,49218830680936.414,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,130,8.29416050351328e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,131,155666028758081.53,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,132,1.1502407138953267e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,133,169784394877047.7,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,134,6.365692553766168e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,135,144782430216152.38,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,136,5.8360822925636484e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,137,29537175212121.7,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,138,1.4181193606256897e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,139,24416638942697.234,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
