,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,21,200,1.00E-15,0,0,-2.222795456,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
0,21,200,1.00E-15,0,1,-2.154915886,0.857142857,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.047619048,0.666666667,0.142857143,17.77089311
0,21,200,1.00E-15,0,2,-2.22938094,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
0,21,200,1.00E-13,0,0,-2.294605117,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
0,21,200,1.00E-13,0,1,-2.222946091,0.857142857,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.047619048,0.666666667,0.142857143,17.77089311
0,21,200,1.00E-13,0,2,-2.301190601,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
0,21,200,1.00E-11,0,0,-2.366414778,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
0,21,200,1.00E-11,0,1,-2.290976296,0.857142857,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.047619048,0.666666667,0.142857143,17.77089311
0,21,200,1.00E-11,0,2,-2.373000262,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
0,21,200,1.00E-09,0,0,-2.438224438,0.904761905,4.713765563,5.71124031,1.53875969,0.904761905,0.904761905,2.047619048,1.142857143,86,0.095238095,0.619047619,0.19047619,17.79744118
