,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,1,200,1.00E-15,0,0,-1.105484144,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-15,0,1,-1.105484144,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-15,0,2,-1.105484144,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-13,0,0,-1.184852717,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-13,0,1,-1.184852717,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-13,0,2,-1.184852717,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-11,0,0,-1.264221289,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-11,0,1,-1.264221289,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-11,0,2,-1.264221289,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-09,0,0,-1.343589862,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-09,0,1,-1.343589862,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-09,0,2,-1.343589862,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-07,0,0,-1.422958434,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-07,0,1,-1.422958434,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-07,0,2,-1.422958434,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-05,0,0,-1.502327007,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-05,0,1,-1.502327007,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,1.00E-05,0,2,-1.502327007,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,0.001,0,0,-1.581695579,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,0.001,0,1,-1.581695579,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,0.001,0,2,-1.581695579,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,0.1,0,0,-1.661064152,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,0.1,0,1,-1.661064152,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,200,0.1,0,2,-1.661064152,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
