,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,9,300,1.00E-15,0,0,-1.724917628,0.777943489,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.111111111,0.444444444,0.222222222,17.73486358
0,9,300,1.00E-15,0,1,-1.890816736,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-15,0,2,-1.890816736,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-13,0,0,-1.82126857,0.881916683,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,1.00E-13,0,1,-1.983413404,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-13,0,2,-1.983413404,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-11,0,0,-1.927343648,0.888888145,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,1.00E-11,0,1,-2.076010072,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-11,0,2,-2.076010072,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-09,0,0,-2.033168527,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,1.00E-09,0,1,-2.16860674,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-09,0,2,-2.16860674,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-07,0,0,-2.13899329,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,1.00E-07,0,1,-2.261203408,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-07,0,2,-2.261203408,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-05,0,0,-2.244818054,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,1.00E-05,0,1,-2.353800076,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1.00E-05,0,2,-2.353800076,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,0.001,0,0,-2.350642817,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,0.001,0,1,-2.446396743,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,0.001,0,2,-2.446396743,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,0.1,0,0,-2.45646758,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,0.1,0,1,-2.538993411,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,0.1,0,2,-2.538993411,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,10,0,0,-2.562292343,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
0,9,300,10,0,1,-2.631590079,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,10,0,2,-2.631590079,0.777777778,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0,0.777777778,0,17.57273068
0,9,300,1000,0,0,-2.668117107,0.888888889,1.70868257,4.978723404,0.776595745,1,1,2.333333333,1.888888889,47,0.222222222,0.444444444,0.222222222,17.61326391
