,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,1,300,1.00E-15,0,0,-0.807738568,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-15,0,1,-0.807738568,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-15,0,2,-0.807738568,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-13,0,0,-0.926791427,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-13,0,1,-0.926791427,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-13,0,2,-0.926791427,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-11,0,0,-1.045844285,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-11,0,1,-1.045844285,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-11,0,2,-1.045844285,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-09,0,0,-1.164897144,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-09,0,1,-1.164897144,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-09,0,2,-1.164897144,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-07,0,0,-1.283950003,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-07,0,1,-1.283950003,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-07,0,2,-1.283950003,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-05,0,0,-1.403002861,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-05,0,1,-1.403002861,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1.00E-05,0,2,-1.403002861,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,0.001,0,0,-1.52205572,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,0.001,0,1,-1.52205572,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,0.001,0,2,-1.52205572,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,0.1,0,0,-1.641108579,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,0.1,0,1,-1.641108579,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,0.1,0,2,-1.641108579,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,10,0,0,-1.760161437,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,10,0,1,-1.760161437,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,10,0,2,-1.760161437,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1000,0,0,-1.879214296,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1000,0,1,-1.879214296,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,1,300,1000,0,2,-1.879214296,1,0,0,0,1,1,0,0,1,1,0,0,16.76206622
0,2,300,1.00E-15,0,0,-0.889182626,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-15,0,1,-0.889182626,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-15,0,2,-0.889182626,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-13,0,0,-0.948709056,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-13,0,1,-0.948709056,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-13,0,2,-0.948709056,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-11,0,0,-1.008235485,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
0,2,300,1.00E-11,0,1,-1.008235485,0.5,0,1,0,1,1,0.5,0,3,0,0.5,0,16.76206622
