Filename,AtomsObject,Eads,NPd,SiteType,RealSite,CN1,CN2,GCN,Z,Charge,Nsites,Pd1C,Pd2C,Pd3C,CeCN1,OCN1
pd1-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.4,1,top,top,0.0,0.0,0.0,5.376204958738204,0.54,1,1.8933809234285428,0.0,0.0,3.0,4.0
pd10-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.71,10,hollow,hollow,5.0,1.9999999999999998,1.5,7.879479174218799,0.0,3,2.0695013305929777,2.0973454971071517,2.1590173521446108,0.0,0.0
pd10-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.25,10,bridge,bridge,4.5,1.5,2.1666666666666665,6.917784696398679,0.085,2,1.9735526162085284,1.98072214724458,3.4197795792992096,1.5,0.5
pd10-ceria-a3.CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.92,10,top,top,5.0,2.0,3.5833333333333335,7.874894793942479,-0.0085,1,1.8685320523596265,3.2975486200951365,3.512796986396949,0.0,0.0
pd10-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.31,10,hollow,hollow,4.333642473684005,1.3336424736840053,1.5909090909090908,6.544649304403894,0.17,3,2.0125037311108915,2.0755114616881185,2.0897792224249727,1.9990725789479846,0.6663575263159949
pd11-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd11', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.29,11,hollow,hollow,3.9967481717522455,0.6655827239174151,1.8181818181818181,5.727744457239334,0.12,3,1.9940080392931014,2.1133541936064764,2.1209795697794123,3.0,2.003251828247755
pd12-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd12', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.25,12,bridge,bridge,5.5,1.4999999999999998,2.8333333333333335,7.842192465390449,-0.02,2,1.9869403665868637,1.99571671173317,3.2566316059434626,0.0,0.0
pd12-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd12', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.44,12,bridge,bridge,4.0,0.5,2.5555555555555554,6.887998120342809,0.032,2,1.9602665248127884,1.9610399552115556,3.494936380291545,1.5000000000000004,1.5000000000000004
pd12-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd12', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.43,12,hollow,hollow,4.616860142767479,0.6493514889001589,2.1818181818181817,6.483765850590384,0.1,3,1.994219633250095,2.012024515169843,2.147362954722647,2.006417028201006,1.720751209366525
pd13-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd13', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.26,13,bridge,bridge,6.0,1.5,3.2222222222222223,7.862206954470349,-0.0036,2,1.9718260976041404,2.010629836406346,2.8236999459193584,0.0,0.0
