species,m CO,Energy (eV),Eads_average,Eads_total,,,Energy (eV)
Pd7-1CO,1,-832.5539345,-2.20177877,-2.20177877,,CO,-14.79
Pd7-2CO,2,-849.0606622,-1.959253235,-3.91850647,,Pd7,-815.5621557
Pd7-3CO,3,-866.2133962,-2.093746817,-6.28124045,,,
Pd7-4CO,4,-883.0323641,-2.077552085,-8.31020834,,,
Pd7-5CO,5,-899.206581,-1.93888505,-9.69442525,,,
Pd7-6CO,6,-915.6725588,-1.895067175,-11.37040305,,,
Pd7-7CO,7,-931.0283524,-1.705170953,-11.93619667,,,
Pd7-8CO,8,-947.2474713,-1.670664443,-13.36531554,,,
Pd7-9CO,9,-962.527753,-1.539510809,-13.85559728,,,
Pd7-10CO,10,-978.2810104,-1.481885465,-14.81885465,,,
Pd7-11CO,11,-993.231337,-1.361743753,-14.97918128,,,
